t,score,true_label,status,CPU / Load,Memory,Disk,Network
0,0.2087,0,NORMAL,21.5,4.5,19.7,7.6
1,0.2209,0,NORMAL,21.4,4.0,19.8,8.6
2,0.1896,0,NORMAL,21.6,7.0,19.7,6.7
3,0.1154,0,NORMAL,21.3,3.7,19.8,7.7
4,0.1525,0,NORMAL,21.3,2.5,20.2,7.9
5,0.2114,0,NORMAL,21.4,2.4,20.0,5.0
6,0.2517,0,NORMAL,21.5,2.5,19.9,5.0
7,0.265,0,NORMAL,21.7,6.8,19.5,5.7
8,0.221,0,NORMAL,21.6,5.7,20.0,8.7
9,0.2259,0,NORMAL,21.8,7.2,19.9,7.6
10,0.1231,0,NORMAL,21.4,6.1,19.6,6.6
11,0.221,0,NORMAL,21.6,4.1,19.8,8.6
12,0.1157,0,NORMAL,21.4,4.4,19.7,6.7
13,0.1421,0,NORMAL,21.5,4.0,19.7,4.8
14,0.1566,0,NORMAL,21.7,5.0,19.8,4.9
15,0.1576,0,NORMAL,22.0,5.8,19.9,6.9
16,0.1337,0,NORMAL,21.9,5.0,20.1,7.7
17,0.2247,0,NORMAL,22.8,8.0,20.0,6.8
18,0.221,0,NORMAL,22.7,10.6,19.6,8.5
19,0.1165,0,NORMAL,22.9,9.5,19.8,7.6
20,0.1103,0,NORMAL,21.7,4.2,19.8,6.8
21,0.1159,0,NORMAL,21.6,6.6,19.7,4.9
22,0.4154,0,NORMAL,21.1,5.5,19.8,4.8
23,0.1152,0,NORMAL,20.8,6.4,19.5,6.6
24,0.221,0,NORMAL,20.6,3.1,19.7,8.5
25,0.176,0,NORMAL,20.6,3.3,19.8,6.7
26,0.2088,0,NORMAL,20.2,2.4,19.4,7.5
27,0.2809,0,NORMAL,20.5,2.3,19.8,8.6
28,0.3209,0,NORMAL,20.8,2.2,19.7,5.8
29,0.341,0,NORMAL,20.4,2.1,19.5,4.8
30,0.3573,0,NORMAL,20.8,2.3,20.0,4.0
31,0.36,0,NORMAL,21.2,4.0,20.0,8.7
32,0.3244,0,NORMAL,21.3,6.4,19.7,7.6
33,0.2236,0,NORMAL,21.0,2.5,19.9,6.7
34,0.2851,0,NORMAL,20.4,2.0,19.5,8.5
35,0.3298,0,NORMAL,20.6,2.2,19.7,7.5
36,0.348,0,NORMAL,20.5,2.1,20.0,5.9
37,0.3586,0,NORMAL,20.4,2.2,19.6,4.8
38,0.3618,0,NORMAL,20.6,2.2,19.7,4.8
39,0.3639,0,NORMAL,20.5,2.9,19.6,7.6
40,0.3987,0,NORMAL,20.2,1.7,19.7,8.5
41,0.3496,0,NORMAL,21.2,4.1,19.7,6.7
42,0.2965,0,NORMAL,20.6,4.2,19.4,7.5
43,0.2597,0,NORMAL,21.8,4.3,19.6,7.6
44,0.2613,0,NORMAL,21.6,4.5,19.8,5.8
45,0.2554,0,NORMAL,20.9,2.1,19.8,4.9
46,0.2973,0,NORMAL,21.0,2.3,19.6,4.8
47,0.31,0,NORMAL,20.9,2.7,19.6,8.5
48,0.3079,0,NORMAL,20.9,3.9,19.6,7.5
49,0.2689,0,NORMAL,21.0,2.7,19.8,6.7
50,0.261,0,NORMAL,20.7,2.4,19.6,8.5
51,0.2766,0,NORMAL,21.6,4.6,19.5,6.6
52,0.2197,0,NORMAL,21.4,5.7,19.7,5.8
53,0.4057,0,NORMAL,21.0,1.9,19.8,4.8
54,0.2294,0,NORMAL,20.9,2.6,19.7,5.7
55,0.2623,0,NORMAL,20.9,2.5,19.6,7.6
56,0.2737,0,NORMAL,21.0,2.1,19.6,6.6
57,0.2991,0,NORMAL,21.0,2.2,19.7,8.5
58,0.3114,0,NORMAL,20.6,2.1,19.6,7.6
59,0.3274,0,NORMAL,20.8,1.7,19.6,7.6
60,0.3397,0,NORMAL,21.1,2.9,19.8,4.9
61,0.3193,0,NORMAL,21.6,3.9,19.7,4.9
62,0.2843,0,NORMAL,21.8,5.5,19.6,5.7
63,0.221,0,NORMAL,21.5,2.9,19.7,8.6
64,0.2218,0,NORMAL,21.9,4.9,19.4,6.6
65,0.4553,0,NORMAL,22.9,7.7,19.8,7.6
66,0.3239,0,NORMAL,22.1,5.5,19.5,8.4
67,0.1368,0,NORMAL,22.0,4.5,19.4,6.5
68,0.1153,0,NORMAL,22.1,4.4,19.8,4.9
69,0.1365,0,NORMAL,21.8,5.2,19.5,3.8
70,0.3975,0,NORMAL,21.9,4.7,19.7,7.6
71,0.1324,0,NORMAL,22.1,6.4,19.4,7.4
72,0.1239,0,NORMAL,21.4,4.9,19.7,6.6
73,0.2211,0,NORMAL,21.6,2.5,19.7,8.5
74,0.1724,0,NORMAL,21.0,2.1,19.5,7.5
75,0.2454,0,NORMAL,21.3,2.8,19.7,6.7
76,0.2823,0,NORMAL,21.2,3.1,20.2,5.1
77,0.2826,0,NORMAL,21.0,2.1,19.7,3.9
78,0.3154,0,NORMAL,21.5,2.0,19.9,7.7
79,0.3279,0,NORMAL,21.5,3.3,20.0,8.6
80,0.2983,0,NORMAL,21.4,4.1,19.5,6.6
81,0.2582,0,NORMAL,21.8,5.8,19.9,7.7
82,0.1529,0,NORMAL,20.9,2.5,19.5,7.5
83,0.4157,0,NORMAL,21.1,2.1,19.7,6.6
84,0.2635,0,NORMAL,21.3,3.6,19.9,4.9
85,0.2448,0,NORMAL,21.1,2.1,19.7,3.9
