t,score,true_label,status,CPU / Load,Memory,Disk,Network
0,0.9999,0,WARNING,15.9,9.2,13.4,19.2
1,0.9999,0,WARNING,16.1,8.2,13.2,18.9
2,1.0,0,ANOMALY,16.5,11.0,13.2,18.6
3,1.0,0,ANOMALY,16.4,14.8,13.2,19.0
4,0.9999,0,WARNING,16.0,9.5,13.5,18.8
5,1.0,0,WARNING,15.7,8.7,13.8,19.9
6,0.9999,0,WARNING,15.3,9.1,13.4,19.8
7,0.9999,0,WARNING,15.4,8.5,13.7,22.2
8,0.9999,0,WARNING,16.4,8.4,13.3,19.2
9,0.9999,0,WARNING,15.6,8.8,13.1,18.8
10,0.9984,0,WARNING,14.8,6.9,11.3,18.4
11,0.9938,0,WARNING,14.3,6.5,10.3,18.2
12,0.989,0,WARNING,13.7,6.6,9.9,17.5
13,0.9728,0,WARNING,13.1,7.3,9.2,18.1
14,0.963,0,WARNING,12.6,6.3,9.0,17.3
15,0.9227,0,WARNING,13.1,5.6,8.5,17.2
16,1.0,0,ANOMALY,12.2,7.1,8.2,17.1
17,1.0,0,ANOMALY,12.4,10.7,7.7,16.6
18,0.9997,0,WARNING,11.8,5.9,7.3,16.2
19,0.7572,0,WARNING,11.5,4.0,7.2,16.1
20,0.7629,0,WARNING,11.2,4.2,7.2,16.2
21,0.7313,0,WARNING,11.6,4.6,7.0,16.2
22,0.5437,0,NORMAL,11.0,3.1,6.1,15.9
23,0.4622,0,NORMAL,10.2,2.4,5.1,15.6
24,0.3065,0,NORMAL,10.0,2.9,5.0,15.1
25,0.311,0,NORMAL,9.4,2.1,5.0,15.3
26,0.3112,0,NORMAL,9.3,2.6,4.9,15.2
27,1.0,0,ANOMALY,9.4,5.8,4.9,15.2
28,1.0,0,ANOMALY,9.6,8.7,4.9,15.1
29,0.4694,0,NORMAL,8.7,4.3,4.9,15.1
30,0.2509,0,NORMAL,8.3,2.8,4.8,15.0
31,0.3111,0,NORMAL,8.0,2.1,4.8,15.4
32,0.252,0,NORMAL,7.7,2.1,4.8,15.2
33,0.251,0,NORMAL,7.6,2.8,4.8,15.0
34,0.2552,0,NORMAL,7.8,2.0,4.8,14.7
35,0.2494,0,NORMAL,7.7,2.1,4.7,14.7
36,0.2447,0,NORMAL,7.5,2.9,4.7,14.8
37,1.0,0,ANOMALY,7.8,4.8,4.7,14.7
38,1.0,0,ANOMALY,8.2,8.2,4.7,14.7
39,0.4672,0,NORMAL,7.5,2.8,4.7,14.8
40,0.2477,0,NORMAL,7.2,2.1,4.7,14.7
41,0.2433,0,NORMAL,7.7,2.3,4.7,15.1
42,0.24,0,NORMAL,8.3,2.7,4.7,15.0
43,0.7566,0,WARNING,8.2,6.5,4.6,14.5
44,0.2397,0,NORMAL,8.0,2.9,4.6,14.5
45,0.2374,0,NORMAL,8.2,2.6,4.6,14.8
46,0.2376,0,NORMAL,7.9,2.2,4.6,14.6
47,1.0,0,ANOMALY,8.1,5.6,4.6,14.7
