t,score,true_label,status,CPU / Load,Memory,Disk,Network
0,0.1361,0,NORMAL,22.3,8.6,22.3,6.7
1,0.2211,0,NORMAL,23.3,8.9,22.1,6.7
2,0.1218,0,NORMAL,22.1,8.0,22.2,6.7
3,0.1172,0,NORMAL,22.4,8.2,22.0,6.6
4,0.3755,0,NORMAL,21.9,10.6,21.8,6.6
5,0.2091,0,NORMAL,21.3,8.0,21.6,6.5
6,0.394,0,NORMAL,21.8,9.5,21.5,6.5
7,0.8847,0,WARNING,22.3,12.4,21.3,6.4
8,0.1072,0,NORMAL,20.6,7.6,21.0,6.3
9,0.9822,0,WARNING,21.9,13.9,20.8,6.3
10,0.9403,0,WARNING,22.5,12.9,20.7,6.3
11,0.1165,0,NORMAL,21.1,8.7,20.5,6.2
12,0.1083,0,NORMAL,20.2,7.3,20.4,6.2
13,0.2042,0,NORMAL,20.4,7.0,20.1,6.1
14,0.1891,0,NORMAL,22.1,7.5,19.9,6.0
15,0.116,0,NORMAL,21.1,7.0,19.7,6.0
16,0.1112,0,NORMAL,20.3,7.1,19.6,6.0
17,0.1163,0,NORMAL,20.5,8.0,19.6,6.0
18,0.117,0,NORMAL,19.2,8.3,19.2,5.9
19,0.154,0,NORMAL,19.2,7.4,19.0,5.8
20,0.136,0,NORMAL,19.7,8.2,18.9,5.8
21,0.1418,0,NORMAL,19.1,6.6,18.8,5.8
22,0.1577,0,NORMAL,19.4,6.9,18.6,5.7
23,0.1978,0,NORMAL,19.0,6.7,18.4,5.7
24,0.1494,0,NORMAL,18.9,7.4,18.4,5.7
25,0.1547,0,NORMAL,18.8,7.1,18.2,5.6
26,0.2199,0,NORMAL,19.3,8.3,17.9,5.5
27,0.1587,0,NORMAL,19.1,6.8,18.0,5.6
28,0.1613,0,NORMAL,18.6,6.7,17.7,5.5
29,0.1699,0,NORMAL,18.6,6.6,17.4,5.4
30,0.182,0,NORMAL,18.5,6.5,17.5,5.4
31,0.1896,0,NORMAL,17.8,6.5,17.3,5.4
32,0.1967,0,NORMAL,17.8,7.5,17.1,5.3
33,0.1979,0,NORMAL,18.8,7.6,17.0,5.2
34,0.2626,0,NORMAL,17.5,6.7,16.7,5.2
35,0.2065,0,NORMAL,18.0,6.3,16.6,5.2
36,0.215,0,NORMAL,18.9,6.2,16.4,5.1
37,0.2208,0,NORMAL,18.4,6.5,16.3,5.1
38,0.2274,0,NORMAL,18.5,7.2,16.2,5.0
39,0.5267,0,NORMAL,18.3,9.6,16.0,5.0
40,0.9975,0,WARNING,19.9,14.4,16.0,5.1
41,0.6011,0,WARNING,18.2,9.2,15.8,4.9
42,0.215,0,NORMAL,18.2,7.5,15.9,5.0
43,0.2164,0,NORMAL,19.6,6.4,15.7,4.9
44,0.2578,0,NORMAL,18.1,6.3,15.3,4.8
45,0.2424,0,NORMAL,17.2,6.0,15.1,4.7
46,0.2567,0,NORMAL,17.1,6.4,15.0,4.7
47,0.2621,0,NORMAL,17.0,5.9,14.7,4.6
48,0.2749,0,NORMAL,17.5,7.3,14.7,4.7
49,0.263,0,NORMAL,17.0,6.7,14.5,4.5
50,0.2692,0,NORMAL,16.7,6.0,14.4,4.5
51,0.2816,0,NORMAL,17.2,6.4,14.3,4.5
52,0.2894,0,NORMAL,17.2,6.2,14.2,4.5
53,0.2961,0,NORMAL,17.3,6.3,14.3,4.5
54,0.2966,0,NORMAL,16.8,6.6,14.1,4.5
55,0.2942,0,NORMAL,16.8,6.2,13.8,4.4
56,0.3014,0,NORMAL,17.0,6.0,13.6,4.3
57,0.3098,0,NORMAL,17.2,5.7,13.6,4.3
58,0.3156,0,NORMAL,17.0,5.8,13.3,4.2
59,0.3215,0,NORMAL,17.5,5.6,13.0,4.1
60,0.3316,0,NORMAL,17.6,6.2,13.1,4.2
61,0.3295,0,NORMAL,17.2,6.7,12.8,4.1
62,0.324,0,NORMAL,16.9,5.5,12.8,4.1
63,0.3372,0,NORMAL,17.3,5.5,12.7,4.1
64,0.436,0,NORMAL,17.4,8.8,12.6,4.0
65,0.3268,0,NORMAL,16.3,5.1,12.2,3.9
66,0.5157,0,NORMAL,16.7,7.9,12.3,3.9
67,0.8574,0,WARNING,17.5,10.3,12.2,4.0
68,0.3395,0,NORMAL,16.5,5.1,12.1,3.9
69,0.3567,0,NORMAL,16.3,5.7,11.9,3.9
70,0.3592,0,NORMAL,16.2,5.7,11.8,3.8
71,0.9991,0,WARNING,18.8,14.3,11.7,3.8
72,0.3401,0,NORMAL,15.8,5.0,11.6,3.7
73,0.3633,0,NORMAL,16.0,5.8,11.5,3.7
74,0.3654,0,NORMAL,15.7,5.5,11.4,3.6
75,0.3738,0,NORMAL,16.6,5.0,11.2,3.6
76,0.3838,0,NORMAL,15.7,4.8,11.2,3.6
77,0.3917,0,NORMAL,16.3,5.1,11.1,3.6
78,0.3944,0,NORMAL,15.5,5.9,10.9,3.5
79,0.3893,0,NORMAL,15.6,6.0,10.6,3.4
80,0.3896,0,NORMAL,15.4,5.5,10.4,3.4
81,0.3967,0,NORMAL,15.7,4.9,10.3,3.4
82,0.4033,0,NORMAL,15.9,5.9,10.3,3.4
83,0.4039,0,NORMAL,14.9,4.7,10.2,3.3
84,0.4105,0,NORMAL,15.7,4.8,10.2,3.3
85,0.4149,0,NORMAL,16.1,4.6,9.8,3.2
86,0.4214,0,NORMAL,16.1,6.5,10.8,3.6
87,0.4016,0,NORMAL,15.7,5.5,10.1,3.3
88,0.4105,0,NORMAL,15.6,4.7,9.5,3.1
89,0.417,0,NORMAL,15.9,4.5,10.2,3.2
90,0.4189,0,NORMAL,15.9,4.3,10.1,3.1
91,0.423,0,NORMAL,16.2,4.6,10.1,3.1
92,0.4221,0,NORMAL,16.0,4.4,9.8,3.0
93,0.4269,0,NORMAL,15.7,4.8,9.7,3.0
94,0.4276,0,NORMAL,16.0,5.6,9.5,2.9
95,0.429,0,NORMAL,15.3,5.1,9.6,2.9
96,0.4303,0,NORMAL,14.9,5.7,9.5,2.9
97,0.4356,0,NORMAL,15.3,4.5,9.4,2.9
98,0.4387,0,NORMAL,15.7,4.9,10.8,3.4
99,0.4231,0,NORMAL,15.5,4.2,9.5,2.8
100,0.4404,0,NORMAL,14.7,4.5,9.3,2.9
101,0.4442,0,NORMAL,15.3,6.0,9.0,2.7
102,0.9991,0,WARNING,18.5,14.2,8.7,2.7
103,0.401,0,NORMAL,15.0,4.3,8.5,2.7
104,0.4247,0,NORMAL,14.8,4.1,8.5,2.6
105,0.4411,0,NORMAL,14.4,4.8,8.5,2.7
