t,score,true_label,status,CPU / Load,Memory,Disk,Network
0,1.0,0,ANOMALY,10.1,17.1,1.8,6.9
1,0.6581,0,WARNING,6.8,1.6,1.4,6.8
2,0.2171,0,NORMAL,7.0,1.4,2.0,7.2
3,0.7295,0,WARNING,7.4,3.2,9.3,13.7
4,0.9981,0,WARNING,7.4,1.5,1.9,9.4
5,0.8491,0,WARNING,7.3,1.9,1.9,7.4
6,0.215,0,NORMAL,7.3,1.6,1.7,6.9
7,0.2256,0,NORMAL,7.3,1.4,1.9,7.0
8,0.7337,0,WARNING,7.3,1.8,7.9,11.6
9,0.3993,0,NORMAL,7.3,3.2,3.6,8.7
10,1.0,0,ANOMALY,9.7,15.0,1.7,6.9
11,0.7,0,WARNING,7.3,3.1,1.4,7.0
12,0.2707,0,NORMAL,7.3,1.2,1.3,6.8
13,0.5418,0,NORMAL,7.3,3.2,4.8,9.2
14,0.2614,0,NORMAL,7.3,2.2,6.0,11.0
15,0.3463,0,NORMAL,7.3,1.9,1.4,6.9
16,0.1933,0,NORMAL,7.5,1.3,1.8,7.4
17,0.1434,0,NORMAL,7.6,2.1,1.5,6.6
18,0.1769,0,NORMAL,7.7,1.3,1.8,7.5
19,0.7351,0,WARNING,7.8,3.1,8.9,13.5
20,1.0,0,ANOMALY,12.2,18.8,1.8,7.0
21,0.724,0,WARNING,7.6,1.5,1.3,6.7
22,0.1891,0,NORMAL,7.6,1.5,1.3,6.8
23,0.3046,0,NORMAL,7.6,1.9,1.5,7.0
24,0.7319,0,WARNING,7.6,2.7,9.0,13.7
25,0.5091,0,NORMAL,7.6,1.9,1.6,6.9
26,0.1152,0,NORMAL,7.6,1.8,1.5,6.8
27,0.1594,0,NORMAL,7.5,1.8,1.8,7.1
28,0.2041,0,NORMAL,7.5,1.1,1.3,6.8
29,0.736,0,WARNING,7.5,3.2,8.7,13.7
30,1.0,0,ANOMALY,8.6,12.5,1.7,7.0
31,0.7123,0,WARNING,7.5,1.9,2.2,7.3
32,0.1937,0,NORMAL,7.5,1.2,1.4,6.8
33,0.2166,0,NORMAL,7.5,1.8,1.4,7.0
34,0.997,0,WARNING,7.7,4.3,8.8,15.9
35,0.6895,0,WARNING,7.4,2.0,1.5,7.2
36,0.2522,0,NORMAL,7.4,1.3,1.5,7.1
37,0.2362,0,NORMAL,7.5,1.4,1.5,6.9
38,0.2465,0,NORMAL,7.4,1.2,2.2,7.5
39,1.0,0,ANOMALY,7.4,2.5,9.4,16.7
40,1.0,0,ANOMALY,11.6,18.2,1.9,7.2
41,0.7262,0,WARNING,7.4,1.4,1.4,7.0
42,0.2649,0,NORMAL,7.4,1.2,1.7,7.0
43,0.2089,0,NORMAL,7.4,1.6,1.8,7.2
44,0.7338,0,WARNING,7.4,2.7,8.6,13.6
45,0.4967,0,NORMAL,7.4,1.8,1.4,6.9
46,0.3518,0,NORMAL,7.4,1.3,1.5,7.0
47,0.3117,0,NORMAL,7.5,1.5,1.5,6.9
48,0.5748,0,NORMAL,7.6,1.5,1.4,7.0
49,0.7366,0,WARNING,7.6,4.3,8.6,13.7
50,1.0,0,ANOMALY,9.3,14.1,1.4,7.0
51,0.6289,0,WARNING,7.4,1.9,1.8,7.3
52,0.4819,0,NORMAL,7.4,2.0,1.5,7.1
53,0.4143,0,NORMAL,7.4,1.2,1.4,7.1
54,0.7353,0,WARNING,7.4,2.6,8.6,13.6
55,0.4977,0,NORMAL,7.4,1.8,1.4,6.9
56,0.3096,0,NORMAL,7.4,1.1,1.8,7.0
57,0.2188,0,NORMAL,7.4,1.8,1.4,7.1
58,0.3357,0,NORMAL,7.5,1.2,1.4,7.0
59,0.7367,0,WARNING,7.4,2.6,7.7,11.9
60,1.0,0,ANOMALY,9.7,15.8,3.4,8.7
61,0.6224,0,WARNING,7.4,1.9,1.4,7.0
62,0.1664,0,NORMAL,7.4,1.9,1.4,7.0
63,0.2205,0,NORMAL,7.4,1.4,1.9,7.4
64,0.9913,0,WARNING,7.4,2.3,5.3,11.5
65,0.7268,0,WARNING,7.5,3.8,6.0,11.6
66,0.3135,0,NORMAL,7.4,1.6,1.4,7.0
67,0.1833,0,NORMAL,7.4,1.4,1.4,7.0
68,0.1486,0,NORMAL,7.4,1.7,1.7,7.2
69,0.1722,0,NORMAL,7.4,2.3,1.7,7.0
70,1.0,0,ANOMALY,8.4,13.2,8.6,13.6
71,0.5394,0,NORMAL,7.4,2.1,1.7,7.3
72,0.1554,0,NORMAL,7.4,1.9,1.5,7.0
73,0.127,0,NORMAL,7.3,2.3,1.5,7.2
74,0.1292,0,NORMAL,7.3,1.6,1.4,7.3
75,0.7346,0,WARNING,7.3,2.9,9.0,13.9
76,0.5063,0,NORMAL,7.4,1.9,1.4,7.0
77,0.1832,0,NORMAL,7.4,1.5,1.6,7.5
78,0.1337,0,NORMAL,7.6,1.7,1.7,7.1
79,0.1587,0,NORMAL,7.6,2.3,1.5,7.0
80,1.0,0,ANOMALY,12.4,20.3,9.0,13.7
81,0.7582,0,WARNING,7.6,1.5,1.7,7.3
82,0.245,0,NORMAL,7.6,1.7,1.6,7.1
83,0.262,0,NORMAL,7.6,1.9,1.6,7.2
84,0.2431,0,NORMAL,7.6,1.3,1.4,7.2
85,0.7352,0,WARNING,7.6,3.0,8.6,13.6
86,0.4928,0,NORMAL,7.6,1.3,1.4,7.0
87,0.099,0,NORMAL,7.6,2.2,1.7,7.3
88,0.2832,0,NORMAL,7.6,1.1,2.0,7.5
89,0.1475,0,NORMAL,7.6,2.0,2.0,7.3
90,1.0,0,ANOMALY,9.2,15.2,9.3,14.1
91,0.62,0,WARNING,7.6,1.8,2.0,7.5
92,0.172,0,NORMAL,7.6,1.6,1.6,7.2
93,0.1779,0,NORMAL,7.6,2.3,1.8,7.2
94,0.9976,0,WARNING,7.6,1.7,1.7,9.6
95,0.7334,0,WARNING,7.6,2.9,9.3,14.5
96,0.725,0,WARNING,7.6,2.1,2.1,7.7
97,0.3087,0,NORMAL,7.8,4.3,2.0,7.6
98,0.1833,0,NORMAL,7.6,1.5,1.6,7.2
99,0.2159,0,NORMAL,7.6,2.0,1.5,7.4
100,1.0,0,ANOMALY,13.1,21.0,8.6,13.8
101,0.7671,0,WARNING,7.6,2.4,1.7,7.6
102,0.2651,0,NORMAL,7.6,1.8,1.9,7.3
103,0.2324,0,NORMAL,7.7,2.0,1.5,7.4
104,0.7314,0,WARNING,7.6,1.9,1.5,7.4
105,0.733,0,WARNING,7.7,4.2,8.7,13.8
106,0.4973,0,NORMAL,7.7,2.2,1.5,7.3
107,0.1359,0,NORMAL,7.6,2.2,2.2,7.9
108,0.1247,0,NORMAL,7.6,1.6,2.1,7.6
109,0.1387,0,NORMAL,7.6,1.9,1.6,7.1
