t,score,true_label,status,CPU / Load,Memory,Disk,Network
0,0.9959,0,WARNING,20.0,23.2,25.6,3.8
1,0.6389,0,WARNING,19.9,13.2,25.6,3.8
2,0.6257,0,WARNING,19.6,12.2,25.4,3.8
3,0.1272,0,NORMAL,18.3,6.6,25.2,3.9
4,0.2728,0,NORMAL,18.2,6.4,25.4,5.1
5,0.1692,0,NORMAL,18.2,6.4,25.2,3.7
6,0.1306,0,NORMAL,18.3,6.3,24.9,3.6
7,0.5848,0,NORMAL,18.4,7.4,24.9,3.6
8,0.2456,0,NORMAL,18.3,6.4,25.1,3.7
9,0.2704,0,NORMAL,18.4,12.1,25.1,3.8
10,0.8785,0,WARNING,18.5,14.6,25.1,3.9
11,0.1693,0,NORMAL,18.3,6.6,25.1,3.7
12,0.6775,0,WARNING,17.7,11.3,25.1,5.0
13,0.2661,0,NORMAL,15.3,8.2,25.5,5.1
14,0.2329,0,NORMAL,14.5,7.1,25.3,3.7
15,0.1181,0,NORMAL,14.2,6.5,25.0,3.6
16,0.2363,0,NORMAL,14.2,7.6,25.2,3.7
17,0.9959,0,WARNING,15.9,8.4,25.0,5.1
18,0.2665,0,NORMAL,13.8,6.6,25.0,5.1
19,0.2687,0,NORMAL,14.5,12.0,25.0,3.7
20,0.8514,0,WARNING,14.5,14.7,25.0,5.2
21,0.2973,0,NORMAL,14.3,7.5,25.2,3.8
22,0.2188,0,NORMAL,13.9,6.0,24.8,3.6
23,0.1009,0,NORMAL,14.0,6.3,24.8,3.7
24,0.2503,0,NORMAL,14.0,6.3,24.9,5.1
25,0.176,0,NORMAL,14.3,6.1,24.6,3.6
26,0.1759,0,NORMAL,14.2,6.0,24.5,3.6
27,0.1208,0,NORMAL,14.3,5.9,24.3,3.7
28,0.2801,0,NORMAL,14.1,5.8,24.4,3.8
29,0.6875,0,WARNING,15.4,13.2,24.5,3.7
30,0.9959,0,WARNING,18.0,22.6,24.8,3.6
31,0.1729,0,NORMAL,15.7,6.7,24.5,3.5
32,0.33,0,NORMAL,16.0,7.1,24.3,3.6
33,0.2666,0,NORMAL,15.8,5.8,23.7,3.6
34,0.2493,0,NORMAL,16.2,6.2,24.0,4.9
35,0.2492,0,NORMAL,15.7,6.2,24.1,3.7
36,0.1907,0,NORMAL,15.1,5.7,23.7,4.8
37,0.1771,0,NORMAL,15.0,5.7,23.7,3.4
38,0.15,0,NORMAL,15.0,5.4,23.5,3.4
39,0.2544,0,NORMAL,15.4,11.2,23.5,3.4
40,0.8438,0,WARNING,15.4,13.6,23.5,4.8
41,0.2367,0,NORMAL,14.9,5.2,23.6,3.5
42,0.1879,0,NORMAL,15.4,6.0,23.6,4.8
43,0.1808,0,NORMAL,15.4,5.6,23.4,3.4
44,0.3337,0,NORMAL,15.5,5.4,23.4,4.9
45,0.2553,0,NORMAL,15.4,5.7,23.4,3.3
46,0.1815,0,NORMAL,15.2,5.8,23.4,3.5
47,0.2569,0,NORMAL,15.4,6.7,23.6,3.5
48,0.2325,0,NORMAL,15.2,4.6,23.1,3.4
49,0.2578,0,NORMAL,15.5,10.4,23.1,3.5
50,0.8546,0,WARNING,15.6,13.3,23.1,4.8
51,0.197,0,NORMAL,15.3,4.8,22.9,3.3
52,0.2579,0,NORMAL,15.6,5.9,22.9,3.3
53,0.1842,0,NORMAL,15.5,5.1,23.0,3.2
54,0.2587,0,NORMAL,15.4,4.8,23.1,3.4
55,0.1852,0,NORMAL,15.2,4.7,22.8,3.3
56,0.2445,0,NORMAL,15.3,4.6,22.8,4.5
57,0.2504,0,NORMAL,15.3,4.3,22.7,4.5
58,0.7037,0,WARNING,15.5,6.5,22.5,3.3
59,0.3281,0,NORMAL,15.7,10.0,22.9,3.4
60,0.9962,0,WARNING,18.4,21.4,22.5,3.3
61,0.9958,0,WARNING,19.1,13.7,22.7,3.2
62,0.9956,0,WARNING,17.7,11.3,22.4,3.3
63,0.183,0,NORMAL,16.0,4.4,22.3,3.3
64,0.3876,0,NORMAL,16.1,5.0,22.6,4.8
65,0.2599,0,NORMAL,16.3,4.6,22.4,3.2
66,0.1714,0,NORMAL,16.2,4.4,22.1,3.2
