t,score,true_label,status,CPU / Load,Memory,Disk,Network
0,0.2823,0,NORMAL,42.5,13.1,45.2,25.2
1,0.2797,0,NORMAL,42.4,13.0,45.2,25.2
2,0.2878,0,NORMAL,42.8,14.6,45.1,25.0
3,0.285,0,NORMAL,42.6,12.9,45.0,24.9
4,0.3133,0,NORMAL,42.1,13.0,45.0,24.7
5,0.2742,0,NORMAL,42.1,12.9,44.9,24.7
6,0.2562,0,NORMAL,41.3,12.7,44.6,24.6
7,0.2646,0,NORMAL,42.0,12.8,44.8,24.9
8,0.2771,0,NORMAL,42.5,13.9,44.9,24.9
9,0.2824,0,NORMAL,42.6,12.9,44.8,24.8
10,0.2756,0,NORMAL,42.2,12.7,44.6,24.6
11,0.266,0,NORMAL,41.8,12.7,44.5,24.3
12,0.3129,0,NORMAL,41.5,14.6,44.3,24.1
13,0.2755,0,NORMAL,42.2,12.7,44.4,24.2
14,0.2659,0,NORMAL,41.6,12.7,44.3,24.3
15,0.266,0,NORMAL,41.7,12.5,44.2,24.2
16,0.2771,0,NORMAL,41.9,12.3,44.0,23.9
17,0.2689,0,NORMAL,41.6,12.4,43.9,23.9
18,0.2758,0,NORMAL,41.7,13.4,43.7,23.7
19,0.2632,0,NORMAL,41.0,12.1,43.6,23.4
20,0.313,0,NORMAL,40.8,12.1,43.4,23.2
21,0.2422,0,NORMAL,40.6,11.9,43.2,23.1
22,0.2592,0,NORMAL,41.4,13.6,43.1,23.1
23,0.2562,0,NORMAL,41.0,11.8,42.9,23.0
24,0.5045,0,WARNING,41.3,11.6,44.1,22.1
25,0.2522,0,NORMAL,40.7,11.8,42.8,22.7
26,0.2718,0,NORMAL,41.5,11.7,42.6,22.7
27,0.3131,0,NORMAL,41.4,11.5,42.4,22.2
28,0.3129,0,NORMAL,41.7,12.6,42.3,22.1
29,0.2662,0,NORMAL,40.8,11.4,42.2,22.1
30,0.2467,0,NORMAL,40.0,11.5,42.0,22.1
31,0.2481,0,NORMAL,40.4,11.2,41.8,21.8
32,0.2636,0,NORMAL,40.7,12.8,41.7,21.7
33,0.2579,0,NORMAL,40.6,11.2,41.6,21.5
34,0.2395,0,NORMAL,39.8,11.1,41.5,21.4
35,0.3131,0,NORMAL,39.5,11.1,41.3,21.0
36,0.313,0,NORMAL,39.8,10.9,41.1,20.8
37,0.2325,0,NORMAL,40.1,10.9,41.0,21.0
38,0.2397,0,NORMAL,40.2,11.9,41.0,20.9
39,0.2941,0,NORMAL,39.9,10.7,40.8,20.8
40,0.2208,0,NORMAL,39.6,10.8,40.8,20.7
41,0.2089,0,NORMAL,39.1,10.6,40.5,20.4
42,0.209,0,NORMAL,39.0,12.1,40.3,20.2
43,0.3135,0,NORMAL,39.0,10.3,40.2,20.0
44,0.3132,0,NORMAL,38.8,10.4,40.1,19.8
45,0.1786,0,NORMAL,38.1,10.3,40.1,20.1
46,0.179,0,NORMAL,37.2,10.3,39.8,19.8
47,0.159,0,NORMAL,37.7,10.2,39.7,19.6
48,0.1569,0,NORMAL,37.7,11.3,39.5,19.4
49,0.1564,0,NORMAL,37.1,10.1,39.4,19.3
50,0.1782,0,NORMAL,36.9,9.9,39.3,19.1
51,0.3129,0,NORMAL,37.5,9.8,39.1,18.8
52,0.2213,0,NORMAL,38.2,11.6,39.0,18.7
53,0.2481,0,NORMAL,37.6,9.6,38.8,18.7
54,0.1501,0,NORMAL,36.6,9.6,38.8,18.7
55,0.1417,0,NORMAL,36.1,9.6,38.6,18.7
56,0.143,0,NORMAL,36.0,9.6,38.6,18.4
57,0.2516,0,NORMAL,35.8,9.3,38.4,18.4
58,0.1369,0,NORMAL,36.3,10.3,38.6,21.8
59,0.3133,0,NORMAL,35.9,9.4,38.2,17.9
