t,score,true_label,status,CPU / Load,Memory,Disk,Network
0,0.2857,0,NORMAL,23.6,12.9,46.2,34.3
1,0.2857,0,NORMAL,23.8,12.6,47.0,35.1
2,0.2476,0,NORMAL,23.9,12.3,45.6,33.2
3,0.9759,0,WARNING,23.2,17.6,45.8,33.9
4,0.2782,0,NORMAL,22.1,12.4,46.4,34.1
5,0.2592,0,NORMAL,22.2,12.7,45.7,34.2
6,0.2782,0,NORMAL,22.7,12.7,46.6,35.8
7,0.2857,0,NORMAL,23.0,13.5,45.6,34.4
8,0.3004,0,NORMAL,23.2,12.8,46.7,35.9
9,0.3219,0,NORMAL,23.5,12.8,47.7,37.3
10,0.9713,0,WARNING,23.7,12.9,47.2,36.5
11,0.2894,0,NORMAL,23.4,12.5,46.0,35.8
12,0.3004,0,NORMAL,23.3,13.8,46.7,35.8
13,0.2931,0,NORMAL,23.4,12.4,46.2,35.5
14,0.2554,0,NORMAL,23.3,12.5,44.7,33.0
15,0.2476,0,NORMAL,23.3,12.5,44.7,32.2
16,0.2477,0,NORMAL,23.1,12.3,44.5,32.0
17,0.745,0,WARNING,23.2,13.4,43.5,31.4
18,0.2707,0,NORMAL,23.2,12.9,45.2,33.2
19,0.9759,0,WARNING,23.1,13.4,44.4,32.3
20,0.2555,0,NORMAL,23.1,13.2,44.6,31.9
21,0.267,0,NORMAL,23.0,12.7,45.2,32.6
22,0.2516,0,NORMAL,23.3,13.2,45.2,32.0
23,0.2438,0,NORMAL,22.8,11.9,44.3,31.4
24,0.6778,0,WARNING,23.1,12.6,45.1,32.3
25,0.9998,0,ANOMALY,22.9,12.6,45.0,32.1
26,0.2438,0,NORMAL,22.9,11.8,44.3,31.9
27,0.267,0,NORMAL,23.7,14.3,45.7,32.7
28,0.2858,0,NORMAL,23.7,12.7,46.4,33.7
29,0.3413,0,NORMAL,23.9,14.5,46.1,33.9
30,0.2669,0,NORMAL,23.2,12.4,45.1,32.9
31,0.2516,0,NORMAL,23.0,12.9,44.8,31.7
32,0.2319,0,NORMAL,22.8,13.0,43.5,31.0
33,0.2398,0,NORMAL,22.9,12.6,44.0,31.4
34,0.2319,0,NORMAL,22.8,13.2,44.0,30.4
35,0.2359,0,NORMAL,22.8,12.9,44.5,31.9
