t,score,true_label,status,CPU / Load,Memory,Disk,Network
0,0.3685,0,NORMAL,18.9,4.5,4.0,5.4
1,0.3063,0,NORMAL,19.0,3.7,4.3,6.6
2,0.2596,0,NORMAL,19.3,4.6,4.4,7.4
3,0.3096,0,NORMAL,19.1,3.8,4.5,7.0
4,0.1706,0,NORMAL,19.1,4.8,4.6,4.0
5,0.2157,0,NORMAL,19.1,4.1,3.7,5.8
6,0.2301,0,NORMAL,19.3,3.5,4.1,6.6
7,0.3172,0,NORMAL,19.3,4.2,3.9,6.3
8,0.2227,0,NORMAL,19.3,4.6,4.8,7.6
9,0.2564,0,NORMAL,19.3,4.4,3.7,5.9
10,0.4617,0,NORMAL,19.3,3.9,4.9,7.7
11,0.1715,0,NORMAL,19.0,4.3,4.5,6.7
12,0.369,0,NORMAL,19.1,5.9,5.8,5.6
13,0.2212,0,NORMAL,19.2,4.9,4.6,3.4
14,0.2853,0,NORMAL,19.3,5.3,5.5,7.4
15,0.6986,0,WARNING,19.3,6.4,3.9,5.5
16,0.449,0,NORMAL,19.3,5.1,4.8,6.0
17,0.1394,0,NORMAL,19.1,4.5,5.5,6.5
18,0.4447,0,NORMAL,19.3,4.0,4.3,5.0
19,0.3146,0,NORMAL,19.4,4.9,5.3,5.3
20,0.559,0,NORMAL,19.3,4.4,4.0,4.3
21,0.303,0,NORMAL,19.1,4.4,6.0,7.2
22,0.1231,0,NORMAL,19.0,4.7,4.6,4.4
23,0.136,0,NORMAL,19.2,4.4,4.8,5.3
24,0.1721,0,NORMAL,19.2,4.5,4.6,7.0
25,0.3002,0,NORMAL,19.3,4.4,4.4,6.6
26,0.1717,0,NORMAL,19.3,5.2,4.7,7.1
27,0.2015,0,NORMAL,19.1,4.7,4.8,7.1
28,0.4444,0,NORMAL,19.0,5.3,4.9,3.6
29,0.1713,0,NORMAL,19.0,3.7,4.6,4.2
30,0.2257,0,NORMAL,19.3,4.8,4.5,6.7
31,0.4506,0,NORMAL,19.2,3.5,4.7,7.3
32,0.213,0,NORMAL,19.2,4.1,4.6,7.1
33,0.2202,0,NORMAL,19.4,4.2,4.7,3.6
34,0.3535,0,NORMAL,19.4,4.7,4.6,3.3
35,0.3016,0,NORMAL,19.3,4.7,4.6,6.7
36,0.1216,0,NORMAL,19.3,4.2,3.8,5.8
