t,score,true_label,status,CPU / Load,Memory,Disk,Network
0,0.3808,0,NORMAL,18.2,7.3,25.5,5.5
1,0.376,0,NORMAL,17.0,6.0,25.3,3.5
2,0.6885,0,WARNING,17.1,5.5,25.2,5.8
3,0.461,0,NORMAL,16.9,6.3,25.0,5.8
4,0.9941,0,WARNING,17.3,5.6,25.0,5.8
5,0.1507,0,NORMAL,17.0,5.7,25.2,5.5
6,0.9936,0,WARNING,17.9,14.7,25.1,5.7
7,0.8678,0,WARNING,17.3,8.9,25.1,3.8
8,0.1431,0,NORMAL,17.3,6.8,25.0,5.8
9,0.2108,0,NORMAL,17.1,5.4,25.0,3.6
10,0.1686,0,NORMAL,17.3,5.1,24.7,5.5
11,0.159,0,NORMAL,17.6,5.3,24.8,5.6
12,0.1616,0,NORMAL,17.4,5.3,24.9,5.8
13,0.1522,0,NORMAL,17.6,5.0,24.8,5.5
14,0.1689,0,NORMAL,17.4,4.9,24.3,5.4
15,0.1703,0,NORMAL,17.3,5.1,24.5,3.8
16,0.9965,0,WARNING,20.3,19.4,24.6,3.4
17,0.9488,0,WARNING,22.2,19.6,24.8,3.6
18,0.4139,0,NORMAL,17.8,6.5,24.3,5.7
19,0.741,0,WARNING,18.2,5.7,24.3,5.5
20,0.3076,0,NORMAL,18.1,4.9,23.9,5.4
21,0.1846,0,NORMAL,17.8,5.2,24.0,5.5
22,0.3751,0,NORMAL,17.0,4.6,23.8,5.6
23,0.1827,0,NORMAL,16.9,4.6,23.8,3.4
24,0.2043,0,NORMAL,16.8,4.4,23.9,3.5
25,0.2117,0,NORMAL,16.9,4.6,23.5,5.2
26,0.9944,0,WARNING,17.6,13.9,23.7,5.4
27,0.845,0,WARNING,17.0,7.8,23.5,3.6
28,0.1516,0,NORMAL,17.0,6.2,23.8,3.6
29,0.1253,0,NORMAL,17.0,4.6,23.6,5.4
30,0.2044,0,NORMAL,16.9,4.4,23.5,3.3
31,0.9962,0,WARNING,17.2,5.1,23.6,3.4
32,0.198,0,NORMAL,16.8,4.6,23.4,3.3
33,0.3652,0,NORMAL,16.8,4.7,23.6,5.7
34,0.2028,0,NORMAL,17.0,6.3,23.4,3.3
35,0.1847,0,NORMAL,16.8,4.5,23.5,5.4
36,0.995,0,WARNING,17.2,13.6,23.3,5.4
37,0.8427,0,WARNING,16.8,7.6,23.3,3.5
38,0.1676,0,NORMAL,16.6,4.8,23.2,3.3
39,0.1876,0,NORMAL,16.5,4.3,23.1,5.6
40,0.2918,0,NORMAL,16.5,4.1,23.1,3.2
41,0.2025,0,NORMAL,16.4,3.9,23.0,3.2
42,0.2013,0,NORMAL,16.2,3.9,22.6,3.2
43,0.3878,0,NORMAL,16.3,3.9,22.5,5.4
44,0.4965,0,NORMAL,16.2,3.8,22.8,5.4
45,0.5573,0,NORMAL,16.0,3.9,22.4,5.4
46,0.9973,0,WARNING,19.2,19.3,22.8,3.3
47,0.9703,0,WARNING,22.0,20.0,22.4,3.1
48,0.7255,0,WARNING,19.2,12.9,22.5,3.4
49,0.9951,0,WARNING,20.0,12.3,22.3,5.4
50,0.1869,0,NORMAL,16.5,3.6,22.3,3.4
51,0.2004,0,NORMAL,16.3,3.5,22.1,3.2
52,0.2722,0,NORMAL,16.3,3.6,22.2,5.2
53,0.2634,0,NORMAL,16.2,3.4,22.1,3.3
54,0.247,0,NORMAL,16.3,3.7,22.1,3.3
55,0.2368,0,NORMAL,16.4,3.4,22.1,5.2
56,0.9967,0,WARNING,16.7,12.8,21.9,2.9
57,0.7472,0,WARNING,16.6,5.9,21.9,3.1
58,0.2158,0,NORMAL,16.8,4.2,22.0,3.0
59,0.2345,0,NORMAL,15.8,4.7,21.7,3.2
60,0.1619,0,NORMAL,14.4,3.3,21.8,5.2
61,0.1897,0,NORMAL,14.2,3.4,21.4,3.2
62,0.9677,0,WARNING,14.8,3.4,21.6,5.0
63,0.2986,0,NORMAL,14.4,4.2,21.4,5.3
64,0.3689,0,NORMAL,14.6,3.4,21.4,2.8
65,0.2322,0,NORMAL,14.4,3.2,21.3,3.0
66,0.9941,0,WARNING,14.9,11.5,21.1,5.1
67,0.8551,0,WARNING,14.5,6.4,21.4,3.3
68,0.1877,0,NORMAL,14.2,3.5,21.5,3.1
69,0.6731,0,WARNING,14.4,3.2,21.1,3.2
70,0.1915,0,NORMAL,14.3,3.1,21.2,2.9
