t,score,true_label,status,CPU / Load,Memory,Disk,Network
0,0.8873,0,WARNING,20.3,9.1,34.8,31.6
1,0.8265,0,WARNING,20.4,9.0,33.4,28.9
2,0.8268,0,WARNING,20.2,9.7,32.5,27.9
3,0.8273,0,WARNING,20.2,8.9,32.6,27.7
4,0.8863,0,WARNING,20.4,9.4,35.6,32.2
5,0.827,0,WARNING,20.3,9.3,34.2,30.2
6,0.8269,0,WARNING,20.2,8.1,31.3,27.3
7,0.8861,0,WARNING,20.2,8.4,31.0,28.8
8,0.8285,0,WARNING,20.3,9.3,33.7,29.0
9,0.8281,0,WARNING,20.3,8.9,32.1,27.6
10,0.8283,0,WARNING,20.5,8.9,32.9,28.7
11,0.8859,0,WARNING,20.4,9.2,34.5,31.1
12,0.886,0,WARNING,20.4,9.5,33.4,30.6
13,0.8277,0,WARNING,20.3,8.4,32.1,28.1
14,0.8859,0,WARNING,20.4,9.2,33.5,31.0
15,0.8278,0,WARNING,20.4,10.2,33.6,28.7
16,0.8277,0,WARNING,20.3,8.8,32.7,28.0
17,0.8279,0,WARNING,20.4,9.5,34.7,29.6
18,0.8274,0,WARNING,20.3,8.9,34.4,29.1
19,0.8865,0,WARNING,20.3,9.0,34.0,29.8
20,0.8862,0,WARNING,20.4,9.4,34.3,31.3
21,0.8272,0,WARNING,20.6,9.4,33.4,28.1
22,0.8864,0,WARNING,20.6,10.3,33.5,30.3
23,0.8274,0,WARNING,20.5,9.4,34.3,28.4
24,0.8866,0,WARNING,20.4,9.3,33.1,30.1
25,0.8865,0,WARNING,20.2,8.2,31.5,28.8
26,0.8282,0,WARNING,20.4,9.1,34.0,29.4
27,0.8862,0,WARNING,20.1,7.8,30.1,28.0
28,0.8288,0,WARNING,20.4,8.5,31.3,27.7
29,0.8289,0,WARNING,20.5,8.3,31.2,27.1
30,0.8291,0,WARNING,20.3,8.5,30.6,26.4
31,0.8295,0,WARNING,20.4,9.0,31.1,27.2
32,0.8294,0,WARNING,20.2,9.0,30.9,26.9
33,0.8295,0,WARNING,20.0,8.1,31.0,26.3
34,0.8296,0,WARNING,19.8,8.5,31.1,27.0
35,0.8295,0,WARNING,19.8,8.8,31.4,27.5
36,0.8294,0,WARNING,19.7,8.2,30.9,26.4
37,0.8296,0,WARNING,20.0,8.6,31.9,27.5
38,0.8293,0,WARNING,19.8,8.1,31.0,27.1
39,0.8844,0,WARNING,19.7,8.6,32.3,29.1
40,0.8292,0,WARNING,19.7,8.9,31.4,26.7
41,0.8292,0,WARNING,19.6,8.4,31.1,26.4
42,0.8294,0,WARNING,19.5,8.3,28.9,24.9
43,0.8839,0,WARNING,19.8,8.9,32.3,30.0
44,0.8295,0,WARNING,19.7,8.1,30.8,27.2
45,0.8844,0,WARNING,19.7,8.6,30.1,28.1
46,0.8844,0,WARNING,19.7,8.0,30.5,28.7
47,0.8299,0,WARNING,19.6,7.8,29.3,25.0
48,0.8304,0,WARNING,19.7,8.3,30.9,26.7
