t,score,true_label,status,CPU / Load,Memory,Disk,Network
0,0.9732,0,WARNING,19.5,5.2,14.8,17.8
1,0.8275,0,WARNING,19.7,5.0,14.2,16.1
2,0.2378,0,NORMAL,20.4,5.7,14.6,14.7
3,0.8276,0,WARNING,20.0,5.6,13.8,16.1
4,0.8277,0,WARNING,19.7,5.8,14.3,16.1
5,0.9731,0,WARNING,19.2,5.5,14.3,17.4
6,0.8277,0,WARNING,20.2,6.0,14.8,15.8
7,0.1856,0,NORMAL,19.9,5.4,13.9,15.0
8,0.8277,0,WARNING,19.6,5.8,13.7,15.6
9,0.8277,0,WARNING,19.6,5.2,13.8,16.0
10,0.9731,0,WARNING,19.2,5.0,13.8,16.7
11,0.8276,0,WARNING,19.0,5.5,14.3,16.1
12,0.8275,0,WARNING,18.3,4.8,13.5,15.6
13,0.1885,0,NORMAL,17.7,5.0,13.2,14.6
14,0.8279,0,WARNING,17.6,5.1,13.1,15.4
15,0.9958,0,WARNING,16.7,4.7,13.5,18.2
16,0.8283,0,WARNING,17.8,5.0,13.7,15.9
17,0.1429,0,NORMAL,17.1,5.5,12.9,14.2
18,0.9317,0,WARNING,18.3,6.9,14.4,16.3
19,0.8285,0,WARNING,19.6,5.3,15.2,16.8
20,0.3956,0,NORMAL,19.4,6.1,15.3,16.6
21,0.8272,0,WARNING,19.5,5.4,15.0,17.9
22,0.8268,0,WARNING,19.5,5.6,14.2,17.6
23,0.2734,0,NORMAL,19.8,5.3,15.0,16.7
24,0.8265,0,WARNING,19.1,6.1,14.8,17.4
25,0.8264,0,WARNING,20.2,5.8,15.1,17.3
26,0.8265,0,WARNING,19.6,5.5,16.1,17.6
27,0.8263,0,WARNING,19.1,5.0,14.6,17.7
28,0.2373,0,NORMAL,18.9,5.1,13.8,16.2
29,0.2405,0,NORMAL,18.5,6.1,14.4,15.9
30,0.827,0,WARNING,18.9,6.3,15.3,17.9
31,0.973,0,WARNING,18.7,4.9,14.3,18.2
32,0.973,0,WARNING,19.3,5.8,14.7,18.3
33,0.8268,0,WARNING,20.2,5.8,14.6,17.4
34,0.973,0,WARNING,20.2,5.2,14.2,18.4
35,0.973,0,WARNING,19.7,5.1,14.1,18.7
36,0.973,0,WARNING,20.3,5.8,14.7,18.0
37,0.8269,0,WARNING,19.4,6.2,14.8,17.0
38,0.8269,0,WARNING,18.8,5.1,14.0,16.9
39,0.8271,0,WARNING,19.0,6.6,14.3,17.4
40,0.9958,0,WARNING,19.5,5.3,14.4,19.9
41,0.9731,0,WARNING,18.6,5.0,14.2,18.6
42,0.8274,0,WARNING,18.6,5.1,13.8,17.0
43,0.8275,0,WARNING,19.4,5.4,13.8,17.6
44,0.8276,0,WARNING,19.8,5.0,14.4,17.1
45,0.8273,0,WARNING,19.2,5.2,13.7,16.7
46,0.8274,0,WARNING,18.8,5.0,14.5,16.4
47,0.9731,0,WARNING,18.3,4.9,13.3,17.9
48,0.8272,0,WARNING,19.2,4.7,13.7,17.0
49,0.8272,0,WARNING,19.0,4.8,13.2,16.5
50,0.8275,0,WARNING,19.0,5.2,13.2,16.5
51,0.2285,0,NORMAL,18.8,5.9,15.0,15.9
52,0.8272,0,WARNING,18.1,5.7,14.6,16.9
53,0.8272,0,WARNING,18.5,5.3,13.9,17.6
54,0.9731,0,WARNING,19.6,6.5,13.6,17.7
55,0.8272,0,WARNING,18.7,4.5,13.8,16.0
